Cat,Sub,Dimension,Category,Subcategory,DEFINITION,,,,,,,,,,,,,,,,,,,,
22,2,Culture & Society,Gender,Gender based violence,"All indicators that mention violence against women. This should include domestic violence and husbands and wives fighting or harassment in the streets, at school or anywhere else. Also included are indicators mentioning forced marriage and child marriage. If the coder believes that the community perceives an indicator refers to gender violence, then it should be coded as such. However, if this is not clear, it should be discussed with additional program staff OR only under the gender roles sub-category.",,,,,,,,,,,,,,,,,,,,
22,3,Culture & Society,Gender,Safety and comfort,Indicators that discuss the internal (self-perceived) safety and comfort of local women and girls to go about their daily lives in a normal manner.,,,,,,,,,,,,,,,,,,,,
22,4,Culture & Society,Gender,Gender based activities,"Indicators that mention gender qualifiers (male/female, boy/girl. Man/woman, etc) in reference to public or private activities.",,,,,,,,,,,,,,,,,,,,
23,0,Rights & Dignity,Health,Health,"This category includes all indicators that mention the health of community members, local or city-wide healthcare services, and medical education. Also included are indicators which discuss the construction, use, and condition of medical facilities located within the community. Not included are any indicators that discuss violence or threats to the physical safety and health of community members as well as drug and alcohol usage.",,,,,,,,,,,,,,,,,,,,
23,1,Rights & Dignity,Health,Mental Health,This subcategory should be used to code all indicators that deal with mental health issues or private and public efforts to help these individuals.,,,,,,,,,,,,,,,,,,,,
23,2,Rights & Dignity,Health,Medical services,References any indicators that discuss the provision and quality of publicly accessible emergency as well preventative medical services. This also includes indicators that discuss the administration of said facilities.,,,,,,,,,,,,,,,,,,,,
23,3,Rights & Dignity,Health,Youth Health,"This sub-category is for any indicator that references the maintenance, improvements, or damages to the health and quality of life for local youth.",,,,,,,,,,,,,,,,,,,,
23,4,Rights & Dignity,Health,Education,This subcategory is for all indicators that discuss medical education and learning by private citizens or by doctors and nurses.,,,,,,,,,,,,,,,,,,,,
23,5,Rights & Dignity,Health,Physical fitness,"A narrow subcategory for individual activities, like running, that community members do to maintain or improve their physical fitness. Not included are group sports.",,,,,,,,,,,,,,,,,,,,
23,6,Rights & Dignity,Health,Disabilities,"This is for all indicators that revolve around disabilities. This includes publicly supplied accommodations for individuals with disabilities. (e.g., access ramps, elevators, daily centers, educational accommodations, etc.), individual attitudes towards people with disabilities, etc.",,,,,,,,,,,,,,,,,,,,
