#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
217,Postoji organizacija koja skupi mlade ljudi da bi Blagaj izgledao ljepše,There is an organization that brings young people together in order for Blagaj to appear more beautiful.,,,1.0,1,15.0,9.7,Youth,Youth,Culture & Society,Citizens' associations,Governance,Rights & Dignity
218,Mladi ljudi iz Blagaja daju svoje predloge zakone kako bi Blagaj izgledao ljepše,Blagaj's young people give their own proposals for laws in service of Blagaj looking more beautiful.,1.0,,,1,15.1,9.0,Engagement,Youth,Culture & Society,Governance,Governance,Rights & Dignity
219,Postoji novčana kazna kad neko odlaže otpad na ilegalan način,There exists a monetary fine when someone disposes of trash in an illegal way.,1.0,,,1,4.3,18.2,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Waste prevention,Environment,Rights & Dignity
220,Blagaj ima popravljenu osnovnu školu,Blagaj has a fixed elementary school.,,,1.0,1,17.4,19.0,Buildings,Infrastructure,Economic Activity & Livelihoods,Education,Education,Rights & Dignity
221,Blagaj ima vatrogasnu stanicu,There is a fire station in Blagaj.,,1.0,,1,10.6,17.4,Public utilities,Social Programs / Social Services,Rights & Dignity,Buildings,Infrastructure,Economic Activity & Livelihoods
222,U Blagaju postoji više firma koje zapošljavaju ljude,In Blagaj there are more companies which employ people.,,1.0,,1,20.0,20.2,Business,Business,Economic Activity & Livelihoods,Hiring & employment,Business,Economic Activity & Livelihoods
223,U Blagaju ima rekonstrukcije objekata,In Blagaj there are reconstructions of objects/buildings.,,1.0,,1,17.4,,Buildings,Infrastructure,Economic Activity & Livelihoods,,,
224,U Blagaju postoji više atrakcija kao u Starom Gradu u Mostaru,"Just like in Mostar's Old Town, there are more attractions in Blagaj.",,1.0,,1,20.4,,Tourism,Business,Economic Activity & Livelihoods,,,
225,Blagaj ima semafor kod škole,There is a traffic light near the school in Blagaj.,1.0,,,1,21.2,19.0,Traffic,Motor Vehicles ,Culture & Society,Education,Education,Rights & Dignity
226,Političari nisu korumpirani,Politicians are not corrupt,,,1.0,1,4.2,,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,,,
227,Ljudi koji javno kritikuju nepravdu mogu dobiti posao,People who publicly criticize injustice may get a job.,1.0,,,1,20.2,4.2,Hiring & employment,Business,Economic Activity & Livelihoods,Corruption ,Criminality and Legal Enforcement,Rights & Dignity
228,Omladina u Blagaju bi birala predsjednika za zajednicu koji bi radio na tome da Blagaj ide unaprijed,Blagaj's youth would elect a community president who would work that Blagaj moves forward.,,1.0,,1,15.1,,Engagement,Youth,Culture & Society,,,
229,Omladina ima posla i osiguranu egzistenciju,The youth have jobs and a secure existence.,1.0,,,1,15.4,20.5,Livelihoods,Youth,Culture & Society,Youth employment,Business,Economic Activity & Livelihoods
230,Ljudi zarađuju dovoljno za pristojan život,People make enough money for a decent life.,1.0,,,1,20.8,,Livelihoods,Business,Economic Activity & Livelihoods,,,
231,Ime osobe nije razlog za nedobijanje posla,A person's name is not a reason for them not to get hired.,1.0,,,1,1.3,20.2,Social,Integration and acceptance,Culture & Society,Hiring & employment,Business,Economic Activity & Livelihoods
232,Ljudi koji nisu pripadnici neke odredenje stranke imaju mogućnosti da dobiju posao,People who are not members of a certain political party have the possibility to get a job.,1.0,,,1,20.2,9.9,Hiring & employment,Business,Economic Activity & Livelihoods,Political parties,Governance,Rights & Dignity
233,U Blagaju ljudi vole sport a ne huliganstvo,"In Blagaj, people love sports and not hooliganism.",,,1.0,1,4.1,12.0,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Sport,Sport,Culture & Society
234,U Mostaru nema navijačkih nereda,There are no fan riots in Mostar,1.0,,,1,4.1,,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,,,
