#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
195.0,"Postavljene su manje korpe za otpatke uz prometnice, što olakšava održavanje čistoće grada.","Smaller waste bins have been placed along the roads, making it easier to keep the city clean.",1.0,,1.0,2,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
196.0,Postavljene korpe za otpatke se ne uništavaju.,Waste bins that have been installed are not destroyed.,2.0,,,2,18.1,3.8,Waste management Services,Environment,Rights & Dignity,Condition,Public space,Culture & Society
197.0,"Cijela Trimuša je osvijetljena, a ne samo pojedini dijelovi (igralište, šetalište).","The entire Trimuša is illuminated, not just individual parts (playground, promenade).",2.0,,,2,3.8,17.3,Condition,Public space,Culture & Society,Public Lighting,Infrastructure,Economic Activity & Livelihoods
198.0,"Kad dođeš kući navečer na Bijeli Brijeg, imaš gdje ostaviti auto.",You have a place to park your car when you return home to Bijeli Brijeg in the evening.,,1.0,1.0,2,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
199.0,Ulaz na Bijeli Brijeg nije katastrofa – cesta je dovoljno široka.,The road leading to Bijeli Brijeg is not bad; it is broad enough.,1.0,,1.0,2,17.1,,Roads,Infrastructure,Economic Activity & Livelihoods,,,
200.0,Dječje igralište (krug) nije pretvoreno u parking.,The children's playground (circle) has not been turned into a parking lot.,1.0,,1.0,2,21.1,3.1,Parking,Motor Vehicles ,Culture & Society,Open Spaces,Public space,Culture & Society
201.0,Svi ljudi na Bijelom Brijegu plaćaju odvoz smeća,Garbage collection is paid for by everyone at Bijeli Brijeg.,,,2.0,2,18.1,,Waste management Services,Environment,Rights & Dignity,,,
202.0,"Ulice u jesen ne plivaju, jer se odvodi redovno čiste od lišća.","Since the drains are cleansed of leaves on a regular basis, the streets do not flood in the fall.",1.0,,1.0,2,10.6,17.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Roads,Infrastructure,Economic Activity & Livelihoods
203.0,"Vladajuće stranke (SDA-HDZ) ne koriste probleme da ""nalože"" ljude kako bi ostali na vlasti.","In order to maintain power, the ruling parties (SDA-HDZ) do not use problems to convince voters.",,,2.0,2,9.9,9.5,Political parties,Governance,Rights & Dignity,Political coexistence,Governance,Rights & Dignity
204.0,Policija u Mostaru je sposobna zaštititi ljude.,Mostar's police is capable of protecting citizens.,1.0,,1.0,2,5.0,,Police,Police,Armed Actors,,,
205.0,"Policija poduzima potrebne mjere po prijavi za nasilje, a ne maltretira ženu koja je to prijavila.","When a woman reports domestic violence, the police take the appropriate steps without harassing her.",,,2.0,2,5.1,22.2,Accountability ,Police,Armed Actors,Gender based violence,Gender,Culture & Society
206.0,Prijem novih policajaca nije politički problem.,New police officer recruitment is not a political issue.,2.0,,,2,5.1,9.3,Accountability ,Police,Armed Actors,Political functionality,Governance,Rights & Dignity
207.0,Novi gradonačelnik inicira pozitivne promjene i na taj način ulijeva nadu mladima (npr. rade se nove ceste).,"The new mayor is making excellent improvements, which gives young people optimism (eg new roads are being built).",1.0,,1.0,2,9.3,15.0,Political functionality,Governance,Rights & Dignity,Youth,Youth,Culture & Society
208.0,Ljudi ne moraju raditi za 600 KM.,People don't have to work for 600 KM.,,,2.0,2,20.8,20.3,Livelihoods,Business,Economic Activity & Livelihoods,Worker’s protection and rights,Business,Economic Activity & Livelihoods
209.0,"Režije su jeftinije, a ne kao da Elektroprivreda HZHB dovodi struju iz Australije.","The HZHB electrical company does not import electricity from Australia, thus overheads are lower.",1.0,1.0,,2,10.6,20.8,Public utilities,Social Programs / Social Services,Rights & Dignity,Livelihoods,Business,Economic Activity & Livelihoods
210.0,"Mladi ljudi se mogu pronaći u privatnim firmama kao npr. Lasta, NSOFT, ZENDEV itd.","Private companies such as Lasta, NSOFT, ZENDEV, and others employ young people.",1.0,,1.0,2,20.5,20.2,Youth employment,Business,Economic Activity & Livelihoods,Hiring & employment,Business,Economic Activity & Livelihoods
211.0,Šetnja cijelim gradom je kao terapija.,Walking around the city is like therapy.,,,2.0,2,23.1,11.3,Mental Health,Health,Rights & Dignity,Individual Leisure,Socializing,Culture & Society
212.0,U gradu se njeguje kultura odlaganja otpada - tj. sortira se otpad.,The city promotes a garbage disposal culture - i.e. waste is sorted.,2.0,,,2,18.2,3.2,Waste prevention,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
213.0,Djevojka sa Bijelog Brijega se ne boji da noću sama hoda velikim stepenicama.,The girl from Bijeli Brijeg is not afraid to walk the big stairs alone at night.,1.0,,1.0,2,22.3,,Safety and comfort,Gender,Culture & Society,,,
214.0,"Mladi u Mostaru imaju slobodu, jer mogu sami hodati.",Mostar's young people enjoy more freedom since they can take walks alone.,,,2.0,2,2.2,15.0,Confidence,Tranquility/security ,Security,Youth,Youth,Culture & Society
254.0,"Ljudi iz različitih dijelova grada se navečer okupljaju na Bijelom Brijegu ljeti, jer je lijep pogled na grad.","In the summer, people from all around the city come to Bijeli Brijeg, because it has a beautiful view of the city.",1.0,,,1,3.1,11.0,Open Spaces,Public space,Culture & Society,Socializing,Socializing,Culture & Society
255.0,U tržni centar Mepas svi dolaze.,Everyone comes to the Mepas shopping mall.,,,1.0,1,3.1,1.3,Open Spaces,Public space,Culture & Society,Social,Integration and acceptance,Culture & Society
256.0,Muškarac sa Bijelog Brijega ne osjeća ni gram straha na Bijelom Brijegu.,"At Bijeli Brijeg, a guy does not feel a single ounce of fear.",,,1.0,1,2.2,,Confidence,Tranquility/security ,Security,,,
257.0,Mostar je primjer normalne multinacionalne sredine.,Mostar is a typical multinational environment.,,1.0,,1,6.9,1.3,Ethno-religious identity,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
258.0,"Dosta ljudi iz drugih mjesta dolaze i odlaze, jer je Mostar studentski grad.","Since Mostar is a student city, many individuals from different locations come and go.",,,1.0,1,2.3,19.3,Movement,Tranquility/security ,Security,School inclusivness,Education,Rights & Dignity
259.0,Na Koledžu ujedinjenog svijeta u Mostaru se spajaju mnogi učenici različitih nacija.,The United World College in Mostar brings together students from all over the world.,,1.0,,1,19.3,,School inclusivness,Education,Rights & Dignity,,,
260.0,"Mi, kao narod u Mostar, vrlo lako prihvaćamo ljude druge boje.","We, the people of Mostar, are highly accepting of people of color.",,1.0,,1,1.3,,Social,Integration and acceptance,Culture & Society,,,
261.0,Na Bijelom Brijegu nema sukoba zbog nedostatka mjesta za parkiranje.,"Even due to a lack of parking spots, there is no conflict at Bijeli Brijeg.",,,1.0,1,21.1,2.1,Parking,Motor Vehicles ,Culture & Society,Sense of safety,Tranquility/security ,Security
262.0,Kolega koji ima 20 godina može funkcionirati dobro s kolegom od 50 godina.,A 20-year-old colleague can get along with a 50-year-old colleague.,,1.0,,1,6.6,6.2,Inter-generational Relations,Social Relations,Culture & Society,Personal relationships,Social Relations,Culture & Society
263.0,"Kad je 2012. pao veliki snijeg, jedan čovjek je podijelio 2 vreće brašna od 10 kilograma sa susjedima u njegovoj zgradi.","During a snowfall in 2012, a man shared two bags of 10-pound flour with his neighbors.",,,1.0,1,6.1,1.1,Us V Them,Social Relations,Culture & Society,Personal value,Integration and acceptance,Culture & Society
264.0,Djeca u Mostaru poštuju druge rase.,Children from Mostar are tolerant to people of other races.,,,1.0,1,15.5,,Inclusion,Youth,Culture & Society,,,
265.0,"Ljudi u Mostaru daju novac prosjacima, jer im vjeruju.",Mostar residents donate money to beggars because they trust them.,,1.0,,1,6.1,1.3,Us V Them,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
266.0,"Na Bijelom Brijegu ljeti, kada su otvoreni prozori, ljudi ne čuju buku.","During summer, people of Bijeli Brijeg do not hear noise through open windows.",,1.0,,1,3.0,,Public space,Public space,Culture & Society,,,
267.0,Na Bijelom Brijegu nema glasnih pijanki do kasno u noć.,There are no loud parties at Bijeli Brijeg in the late hours of the night.,,1.0,,1,3.0,,Public space,Public space,Culture & Society,,,
268.0,Na Bijelom Brijegu postoji kućni red pa se stanovi u zgradi ne renoviraju u vrijeme poslijepodnevnog odmora.,The apartments at Bijeli Brijeg are not renovated during the afternoon break due to home rules.,1.0,,,1,6.12,17.4,Neighbor Relations,Social Relations,Culture & Society,Buildings,Infrastructure,Economic Activity & Livelihoods
269.0,"Ljudima u Mostaru nije problem požaliti se na nešto, jer im drugi ljudi neće reći „šta ćeš ti“.","People in Mostar have no issue complaining about something since no one will tell them ""what are you gonna do."" (belittling)",,,1.0,1,1.1,1.3,Personal value,Integration and acceptance,Culture & Society,Social,Integration and acceptance,Culture & Society
270.0,Mladi ljudi rade za strane firme i donose nove ideje u Mostar.,Young people work for foreign companies and bring new ideas to Mostar,1.0,,,1,20.7,20.2,Migration,Business,Economic Activity & Livelihoods,Hiring & employment,Business,Economic Activity & Livelihoods
271.0,Boćalište na Bijelom Brijegu je mjesto druženja penzionera,Bocce at Bijeli Brijeg is a place for retirees to socialize.,,1.0,,1,11.1,10.5,Cafes and Space,Socializing,Culture & Society,Retirees,Social Programs / Social Services,Rights & Dignity
272.0,UG Stope nade su organizirale druženje za žene,"Stope Nade', a citizens' organization, hosted a gathering for women.",1.0,,,1,9.7,22.4,Citizens' associations,Governance,Rights & Dignity,Gender based activities,Gender,Culture & Society
273.0,SPES Centar organizira druženje.,Socializing is organized by the SPES Center.,,1.0,,1,9.7,11.0,Citizens' associations,Governance,Rights & Dignity,Socializing,Socializing,Culture & Society
274.0,SPES Centar organizira vježbanje.,Exercise is organized by the SPES Center.,,1.0,,1,9.7,23.5,Citizens' associations,Governance,Rights & Dignity,Physical fitness,Health,Rights & Dignity
275.0,Kontejneri su postavljeni pored igrališta na Bijelom Brijegu.,The waste bins are placed next to the playground at Bijeli Brijeg.,,,1.0,1,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
276.0,Pošta na Bijelom Brijegu nije pljačkana.,Bijeli Brijeg's post office was not robbed.,,,1.0,1,4.3,,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity,,,
277.0,Pošta na Bijelom Brijegu nije zatvorena.,Bijeli Brijeg's post office is not closed.,,1.0,,1,9.3,,Political functionality,Governance,Rights & Dignity,,,
278.0,"Ljudi sa Bijelog Brijega ne moraju zvati taksi da bi odvezli svoje smeće do najbližeg kontejnera, jer je predaleko.",Bijeli Brijeg residents don't need to call a taxi to transport their waste because the nearest waste bin is too far away.,,,1.0,1,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
279.0,Postavljen je videonadzor kod hotel Ero.,Video surveillance has been installed at the Ero Hotel.,1.0,,,1,2.4,3.8,Technology,Tranquility/security ,Security,Condition,Public space,Culture & Society
280.0,Komunalna služba Parkovi frekventnije odvozi otpad sa Bijelog Brijega.,"Bijelo Brijeg's waste is removed frequently by the ""Parkovi"" (The Parks) utility service.",1.0,,,1,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
281.0,Kontejneri iza stadiona zamijenjeni su novim parkom.,A new park has taken the place of the waste bins behind the stadium.,,,1.0,1,3.1,18.1,Open Spaces,Public space,Culture & Society,Waste management Services,Environment,Rights & Dignity
282.0,Na Trimuši je napravljen neki kafić.,A cafe was built at Trimuša.,,,1.0,1,3.8,17.0,Condition,Public space,Culture & Society,Infrastructure,Infrastructure,Economic Activity & Livelihoods
283.0,Čitavo naselje Bijeli Brijeg je osvijetljeno.,The entire settlement of Bijeli Brijeg is illuminated.,1.0,,,1,17.3,,Public Lighting,Infrastructure,Economic Activity & Livelihoods,,,
284.0,Komunalna preduzeća redovno čiste grad.,Utility companies clean the city on a regular basis.,1.0,,,1,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
285.0,"Zakon je isti prema svima, bez obzira koliko je netko ""moćan"".","No matter how ""powerful"" someone is, the law applies to them all.",,,1.0,1,4.2,9.2,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Political accountability,Governance,Rights & Dignity
286.0,U izbornoj godini se u eteru ne ističu problemi kako bi se ljudi naložili.,There is no discussion on air of concerns during an election year to avoid disagreements.,,1.0,,1,9.2,13.1,Political accountability,Governance,Rights & Dignity,Traditional,Media,Culture & Society
287.0,"Političari odstupaju sa svog položaja nakon 4 godine mandata, pa daju drugima priliku da rade.","Politicians quit after four years in government, allowing others to work.",,,1.0,1,9.3,9.2,Political functionality,Governance,Rights & Dignity,Political accountability,Governance,Rights & Dignity
288.0,Policija pronalazi lopove koji pljačkaju stanove u naselju ispod Bijelog Brijega.,"In the Bijeli Brijeg settlement, police found criminals robbing apartments.",1.0,,,1,5.2,4.3,Interactions ,Police,Armed Actors,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity
289.0,U Mostaru postoji dovoljan broj policajaca.,There are enough police officers in Mostar.,1.0,,,1,5.0,,Police,Police,Armed Actors,,,
290.0,Ljudi s Bijelog Brijega imaju komunikaciju sa Gradom putem povjerenika MZ.,Through the local Mjesna zajednica is how residents of Bijeli Brijeg connect with the city.,1.0,,,1,9.6,9.1,Mjesna zajednica,Governance,Rights & Dignity,City politics,Governance,Rights & Dignity
291.0,"Kreira se poduzetnička klima, tako što strani donatori daju novac građanima da rade projekte.","Foreign donors give money to residents to fund initiatives, which provides a variety of jobs.",,,1.0,1,9.8,20.2,Access to public funds,Governance,Rights & Dignity,Hiring & employment,Business,Economic Activity & Livelihoods
292.0,Ljudi zaposleni u privatnom sektoru su plaćeni bolje nego sada.,People in the private sector were paid more than they are now.,,1.0,,1,20.8,,Livelihoods,Business,Economic Activity & Livelihoods,,,
293.0,Djevojka koja studira kemijsko inženjerstvo u Mostaru nema straha da se neće moći zaposliti.,A chemical engineering student in Mostar is unconcerned about not being able to find work.,1.0,,,1,19.0,20.5,Education,Education,Rights & Dignity,Youth employment,Business,Economic Activity & Livelihoods
294.0,Navijači koji se tuku se adekvatno sankcioniraju.,Fans that engage in fights are properly sanctioned.,,1.0,,1,4.1,9.3,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Political functionality,Governance,Rights & Dignity
295.0,"Na stadionu pod Bijelom Brijegu nema nereda, ni prije ni za vrijeme utakmice.","There are no riots at the Bijeli Brijeg stadium, either before or during the match",,1.0,,1,4.1,12.0,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Sport,Sport,Culture & Society
296.0,U Mostaru postoji kola trčanja Sanus. (NVO),There is a Sanus Motus Centar in Mostar (NGO),,1.0,,1,9.7,12.0,Citizens' associations,Governance,Rights & Dignity,Sport,Sport,Culture & Society
297.0,Komentari na medijskim portalima nakon utakmica ne pokazuju nacionalizam.,"After the matches, comments on media portals do not reflect nationalism.",,,1.0,1,13.0,8.3,Media,Media,Culture & Society,Sports and hooliganism,Nationalism,Culture & Society
298.0,U medijima se stalno ne pojavljuju priče o ratu.,Stories concerning the war do not always appear in the media.,1.0,,,1,13.0,7.0,Media,Media,Culture & Society,Legacies of War,Legacies of War,Dealing with the Past
299.0,"Dijete može otići samo pješke u školu na Bijelom Brijegu, bez straha kako će se vratiti kući.","A child can only walk to school at Bijeli Brijeg, without being afraid to return home alone.",,,1.0,1,2.3,15.0,Movement,Tranquility/security ,Security,Youth,Youth,Culture & Society
300.0,Grad Mostar organizira lijep doček Nove godine na otvorenom u Mostaru.,The city of Mostar is hosting a festive New Year's Eve celebration in the open air.,,1.0,,1,9.3,3.7,Political functionality,Governance,Rights & Dignity,Activities,Public space,Culture & Society
301.0,U Pavarotiju nema politike.,There is no politics in the Pavarotti Music Center,,,1.0,1,19.2,1.2,Non-school based education,Education,Rights & Dignity,Political,Integration and acceptance,Culture & Society
302.0,U Pavarotiju je glazba zajednički nazivnik.,Music is a common denominator at the Pavarotti Music Center.,1.0,,,1,6.9,19.2,Ethno-religious identity,Social Relations,Culture & Society,Non-school based education,Education,Rights & Dignity
303.0,Ljudi u Mostaru znaju funkcionirati u grupi.,People in Mostar know how to function in a group.,,,1.0,1,6.3,,Social Trust,Social Relations,Culture & Society,,,
304.0,"Oko Mrtvare noću ljeti nema starijih muškaraca (40+), koji ostavljaju na ogradi kesice sa smećem.","During summer, there are no older men (40+) surrounding Mrtvara who leave waste bags on the fence.",,,1.0,1,18.2,3.2,Waste prevention,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
305.0,"Oko Mrtvare ljeti noću nema starijih muškaraca (40+), koji smetaju drugim ljudima do 2-3 sata ujutro.","During summer, there are no older men (40+) surrounding Mrtvara who bother other people until 2-3 a.m.",,,1.0,1,3.1,3.2,Open Spaces,Public space,Culture & Society,Public Ownership,Public space,Culture & Society
,Mladi koji se druže na Bijelom Brijegu ne ometaju susjede jer nisu bučni.,,,,,0,,,,,,,,
,"Pošto je Mostar mali grad, uvijek sretneš ljude koji idu u šetnju.",,,,,0,,,,,,,,
,Na Bijelom Brijegu se mala djecu igraju.,,,,,0,,,,,,,,
,Koledž ujedinjenog svijeta u Mostaru pohađa mnogo učenika različitih nacija.,,,,,0,,,,,,,,
,Koledž ujedinjenog svijeta u Mostaru pohađa mnogo učenika različitih vjera.,,,,,0,,,,,,,,
,Ljudi koji žive u Mostaru brzo se naviknu na ljude koji se tu dosele.,,,,,0,,,,,,,,
,"Dosta studenata, većinom iz Hrvatske i drugih dijelova BiH, nakon pola godine života u Mostaru upoznaju grad.",,,,,0,,,,,,,,
,"U Mostaru se, u odnosu na druge veće gradove, ljudi vrlo brzo prilagođavaju.",,,,,0,,,,,,,,
,U Mostaru ljudi pomažu i drugom i sebi.,,,,,0,,,,,,,,
,"Mnogo ljudi iz cijelog svijeta dolazi u Mostar, tako da ljudi iz Mostara imaju priliku upoznati druge vjere.",,,,,0,,,,,,,,
,"Mnogo ljudi iz cijelog svijeta dolazi u Mostar, tako da ljudi iz Mostara imaju priliku upoznati druge kulture.",,,,,0,,,,,,,,
,"Ljudi koji dolaze u Mostar kod svoje rodbine, rado se zadrže u Mostaru.",,,,,0,,,,,,,,
,Djevojka iz Ljubuškog je bila lijepo prihvaćena na karate natjecanjima u Mostaru.,,,,,0,,,,,,,,
,"U BiH ljudi ne izgledaju kao da su programirani, kao npr. u Njemačkoj, Americi.",,,,,0,,,,,,,,
,Svakog dana netko zove mladića na kavu.,,,,,0,,,,,,,,
,Mladež s Bijelog Brijega se druži u Cafu Aldi.,,,,,0,,,,,,,,
,Mladež s Bijelog Brijega se druži kod Starog Tržnog.,,,,,0,,,,,,,,
,Mladež se druži ispod Studenskog.,,,,,0,,,,,,,,
,Na akciju čišćenja na Trimuši dolaze ljudi koji se prijave.,,,,,0,,,,,,,,
,"Mala djeca ne izazivaju nekoga ko je crn govoreći: ""Vau, velike usne.”",,,,,0,,,,,,,,
,Djevojka koja je pokrenula stranicu pomozi.mojoj.nevjeri je proglašena za Hercegovku godine.,,,,,0,,,,,,,,
,"Ako neka djevojka kaže da je nekome potreban novac za izgradnju kuće, ljudi u Mostaru joj povjeruju.",,,,,0,,,,,,,,
,"Ljudi u Mostaru nemaju predrasude prema prosjacima, pa ne misle da će novac koji dobiju koristiti za alkohol.",,,,,0,,,,,,,,
,Nitko na Bijelom Brijegu ne očekuje da će se dogoditi verbalni sukob.,,,,,0,,,,,,,,
,"Ljudi u Mostaru ne razmišljaju na način „šta ću se buniti, svakako se ništa ne može promijeniti“",,,,,0,,,,,,,,
,"Na Bijelom Brijegu žive sve tri konfesije, i četvrta skupina – „Ostali“.",,,,,0,,,,,,,,
,Vozila nisu parkirana na zelene površine na Bijelom Brijegu.,,,,,0,,,,,,,,
,Ljudi na Bijelom Brijegu ne bacaju smeće preko zida na put.,,,,,0,,,,,,,,
,Na Bijelom Brijegu postoji velika javna garaža na kat.,,,,,0,,,,,,,,
,"Jedan stan nema 3 ili 4 auta, pa parking nije problem.",,,,,0,,,,,,,,
,Na Bijelom Brijegu na 30 stanova nema samo 10 parkirnih mjesta.,,,,,0,,,,,,,,
,Na Bijelom Brijegu postoje posebne staze za bicikle.,,,,,0,,,,,,,,
,Ne postoji uvijek neki građevinski inspektor koji dopušta ilegalnu gradnju.,,,,,0,,,,,,,,
,Ljudi živom ogradom ne uzurpiraju dio puta na cesti koja vodi na Bijeli Brijeg.,,,,,0,,,,,,,,
,Na Bijelom Brijegu postoji dovoljno kanta za smeće.,,,,,0,,,,,,,,
,Postoji dovoljno kontejnera za smeće u blizini zgrada na Bijelom Brijegu.,,,,,0,,,,,,,,
,Okolica Mostara nije „okićena“ plastičnim vrećicama.,,,,,0,,,,,,,,
,"Potpisivanje Dejtonskog sporazuma je omogućilo trajni mir, a ne samo primirje između dva rata.",,,,,0,,,,,,,,
,Policija kažnjava vlasnike vozila koji nisu propisno parkirani.,,,,,0,,,,,,,,
,"Svakome tko parkira nepropisno, vozilo se, bez izuzetka, odvozi paukom.",,,,,0,,,,,,,,
,Ne tolerira se nepropisno parkiranje na zelenim površinama u Mostaru.,,,,,0,,,,,,,,
,U Mostaru se ne tolerira nepropisno prelaženje ceste mimo pješačkog prijelaza.,,,,,0,,,,,,,,
,"Ljudi iz Mostara vežu pojas i u Mostaru, kao što to rade i u Metkoviću.",,,,,0,,,,,,,,
,"Kada navijač napravi nered, zabrani mu se pristup utakmicama.",,,,,0,,,,,,,,
,"Političari lijepo govore jedni o drugima, pa i narod to isto radi.",,,,,0,,,,,,,,
,Političari lako podnose da izgube moć.,,,,,0,,,,,,,,
,Ljudi zaposleni u državnoj administraciji žele da temeljito rade svoj posao.,,,,,0,,,,,,,,
,"Policija ne objavljuje priopćenja u kojima piše ""Nepoznat počinitelj otišao u nepoznatom pravcu"" pa ljudi imaju povjerenja u sposobnost policije.",,,,,0,,,,,,,,
,"Kada žena sa Bijelog Brijega, koja radi u udruženju ""Novi put"" koje se bavi sprečavanjem nasilja, prijavi nasilje na Panjevini – institucije poduzimaju odgovarajuće mjere (w).",,,,,0,,,,,,,,
,Ljudi imaju ustanovu koju mogu pozvati kada se desi nasilje.,,,,,0,,,,,,,,
,Policija ne ignorira žene koje žele pomoći žrtvama nasilja.,,,,,0,,,,,,,,
,"Kada je žena Romkinja prijavila nestanak kćerke, Centar za socijalni rad joj je pružio podršku.",,,,,0,,,,,,,,
,Natječaj za prijem 130 policajaca nije propao.,,,,,0,,,,,,,,
,Policijsko auto patrolira po Bijelom Brijegu.,,,,,0,,,,,,,,
,"Kada je policija uhapsila lopova koji je opljačkao ženu s Bijelog Brijega u prodavnici u kojoj radi, nije pušten nakon nekoliko dana.",,,,,0,,,,,,,,
,"U policiju primaju školovane osobe, a ne poljoprivrednike preko štele.",,,,,0,,,,,,,,
,U prostorijama MZ se održavaju sastanci sa ljudima iz MZ.,,,,,0,,,,,,,,
,"Gradske službe u Mostaru postupaju po dopisu, kojeg je poslao povjerenik MZ.",,,,,0,,,,,,,,
,"Kreira se poduzetnička klima, tako što se održavaju radionice za ljude kako napraviti svoj projekt.",,,,,0,,,,,,,,
,"Omladina ima posla, pa nema vremena za pravljenje problema.",,,,,0,,,,,,,,
,Ljudi osjećaju mir kada imaju novac.,,,,,0,,,,,,,,
,Plate komunalnih radnika su veće.,,,,,0,,,,,,,,
,Komunalne radnike se više poštuje.,,,,,0,,,,,,,,
,"Komunalni radnici ne moraju za malu platu, u 5 ujutro na -6 krenuti s prikupljanjem smeća.",,,,,0,,,,,,,,
,"Mladi ljudi ne teže zapošljavanju u državnim firmama,",,,,,0,,,,,,,,
,Na Bijelom Brijegu postoji boćalište.,,,,,0,,,,,,,,
,Boćalište na Bijelom Brijegu se redovno održava dovoženjem kamiona pijeska.,,,,,0,,,,,,,,
,"U Mostaru se, kao i u Engleskoj, na početku utakmice odvoje huligani kako bi se držali pod nadzorom tijekom utakmice.",,,,,0,,,,,,,,
,Kupovina karata za utakmice vrši se na ime uz osobnu iskaznicu.,,,,,0,,,,,,,,
,Navijačke skupine iz Mostara se ne dogovaraju za tuče nakon utakmica.,,,,,0,,,,,,,,
,"Nema tuča ""sačekuša"" nakon utakmica.",,,,,0,,,,,,,,
,U Mostaru postoji Mostar polumaraton.* (w),,,,,0,,,,,,,,
,"Mostar je regionalni studentski centar, u kojem studiraju mladi iz Hrvatske, Sarajeva, RS...",,,,,0,,,,,,,,
,U Mostaru je organizirana škola robotike za djecu.,,,,,0,,,,,,,,
,"U Mepasu postoji škola za djecu ""Helen Doron"" za učenje engleskog jezika.",,,,,0,,,,,,,,
,Vijesti o izgredima u naselju Bijeli Brijeg ne pune medijske portale.,,,,,0,,,,,,,,
,Komentari na medijskim portalima nakon utakmica ne pokazuju da bolesni ljudi žive s nama u zajednici.,,,,,0,,,,,,,,
,Nakon utakmica se ne pišu šokantni komentari na medijskim portalima.,,,,,0,,,,,,,,
,Ljudi u Mostaru misle da žive u miru i kada upale TV.,,,,,0,,,,,,,,
,"Mediji su dosta izvještavali o potresu u Zagrebu, pa su to ljudi više pratili.",,,,,0,,,,,,,,
,TV vijesti ne preuveličavaju manje incidente koji se dešavaju.,,,,,0,,,,,,,,
,Na Instagram stranica pomozi.mojoj.nevjeri skuplja se novac za izgradnju doma jednoj obitelji.,,,,,0,,,,,,,,
,Na Instagram stranici pomozi.mojoj.nevjeri skuplja se novac za kupovinu pelena.,,,,,0,,,,,,,,
,"U Mostaru se u medijima manje govori o navijačkim sukobima, pa ih se manje i događa.",,,,,0,,,,,,,,
,"Kad dođe do sukoba između navijačkih skupina, to se ne objavljuje na svakom portalu.",,,,,0,,,,,,,,
,Muškarac sa Bijelog Brijega se slobodno kreće po cijelom gradu.,,,,,0,,,,,,,,
,Djevojka s Bijelog Brijega voli prošetati cijelim gradom.,,,,,0,,,,,,,,
,Za 30 minuta se može doći od skretanja za Čitluk do Rudnika.,,,,,0,,,,,,,,
,"U Mostaru je sve blizu, pa nije potrebno uvijek ići autom.",,,,,0,,,,,,,,
,Mostar Rock škola je multinacionalna.,,,,,0,,,,,,,,
,U multinacionalnoj Mostar Rock školi nema nikakvih nesuglasica.,,,,,0,,,,,,,,
,Postoji uređen sistem koji ne dopušta da labilni ljudi odu u pogrešnom smjeru.,,,,,0,,,,,,,,
,Ljudi u Mostaru znaju zauzeti zajednički stav za dobrobit lokalne zajednice.,,,,,0,,,,,,,,
,Migranti koji bježe od rata nisu stavljeni u isti koš sa onim migrantima koji prave nerede.,,,,,0,,,,,,,,
,Migranti sa obiteljima se ne posmatraju kao problem.,,,,,0,,,,,,,,
,"Ulice se ne čiste u 8 h ujutro jer se tad pravi gužva, nego ranije ujutro.",,,,,0,,,,,,,,
,Ljudi ne bacaju komad pršuta i madrac u istu kantu.,,,,,0,,,,,,,,
,Djevojka može biti sama bez ikakvih ljudi oko sebe.,,,,,0,,,,,,,,
,"Za razliku od velikih gradova, Mostar je odličan za 14-godišnjakinju jer nije tako užurban.",,,,,0,,,,,,,,
,U Mostaru je manje gužve nego u mjestima poput Rima pa se ne mora čekati 30 minuta bilo gdje.,,,,,0,,,,,,,,
,"U Mostaru nije samo kuća posao, posao kuća, jer znamo kako podijeliti svoje vrijeme.",,,,,0,,,,,,,,
,Oko Mrtvare nema previše opušaka na podu.,,,,,0,,,,,,,,
,Ljudi u Mostaru više koriste bicikle.,,,,,0,,,,,,,,
,Serija “Friends” opušta djevojku koja dolazi kući pod stresom od priprema za ispite.,,,,,0,,,,,,,,
,"Djevojka bira jedan dan u tjednu da čita sama, u svom miru.",,,,,0,,,,,,,,
,Na Bijelom Brijegu nema eksplozivnih naprava.,,,,,0,,,,,,,,
,"Migranti ne pokušavaju provaliti u kuću na Bijelom Brijegu uoči Božića, u potrazi za hranom.",,,,,0,,,,,,,,
,Gladan migrant ne upada u garažu na Bijelom Brijegu da traži hranu za nastavak svog puta.,,,,,0,,,,,,,,
